00A,Total Rf Heliport
00AA,Aero B Ranch Airport
00AK,Lowell Field
00AL,Epps Airpark
00AN,Katmai Lodge Airport
00AR,Newport Hospital & Clinic Heliport
00AS,Fulton Airport
00AZ,Cordes Airport
00CA,Goldstone (GTS) Airport
00CL,Williams Ag Airport
00CN,Kitchen Creek Helibase Heliport
00CO,Cass Field
00FA,Grass Patch Airport
00FD,Ringhaver Heliport
00FL,River Oak Airport
00GA,Lt World Airport
00GE,Caffrey Heliport
00HI,Kaupulehu Heliport
00ID,Delta Shores Airport
00IG,Goltl Airport
00II,Bailey Generation Station Heliport
00IL,Hammer Airport
00IN,St Mary Medical Center Heliport
00IS,Hayenga's Cant Find Farms Airport
00KS,Hayden Farm Airport
00KY,Robbins Roost Airport
00LA,Shell Chemical East Site Heliport
00LL,Ac & R Components Heliport
00LS,Lejeune Airport
00MD,Slater Field
00MI,Dow Chemical Heliport
00MN,Battle Lake Municipal Airport
00MO,Cooper Flying Service Airport
00MT,Livingston Healthcare Heliport
00N,Bucks Airport
00NC,North Raleigh Airport
00NJ,Colgate-Piscataway Heliport
00NK,Cliche Cove Seaplane Base
00NR,Rodanthe Dare County Heliport
00NY,Weiss Airfield
00OH,Exit 3 Airport
00OI,Miami Valley Hospital Heliport
00OK,Gull Bay Landing Airport
00OR,Steel Systems Heliport
00PA,R J D Heliport
00PN,Ferrell Field
00PS,Thomas Field
00S,McKenzie Bridge State Airport
00SC,Flying O Airport
00SD,Homan Field
00TA,SW Region FAA Heliport
00TE,Tcjc-Northeast Campus Heliport
00TN,Ragsdale Road Airport
00TS,Alpine Range Airport
00TX,San Jacinto Methodist Hospital Heliport
00UT,Clear Creek Ranch Airport
00VA,Vaughan Airport
00VI,Groundhog Mountain Airport
00W,Lower Granite State Airport
00WA,Howell Airport
00WI,Northern Lite Airport
00WN,Hawks Run Airport
00WV,Lazy J. Aerodrome
00WY,Mountain View Regional Hospital Heliport
00XS,L P Askew Farms Airport
01A,Purkeypile Airport
01AK,Providence Seward Medical Center Heliport
01AL,Ware Island Airport
01AN,McHone Heights Airport
01AR,DeQueen Medical Center Heliport
01AZ,Yat Heliport
01C,Grant Airport
01CA,SCE Lugo Substation Heliport
01CL,Swansboro Country Airport
01CN,Los Angeles County Sheriff's Department Heliport
01CO,St Vincent General Hospital Heliport
01CT,Berlin Fairgrounds Heliport
01FA,Rybolt Ranch Airport
01FD,Advent Health Altamonte Springs Heliport
01FL,Cedar Knoll Flying Ranch Airport
01GA,Medical Center Heliport
01GE,The Farm Airport
01IA,Stender Airport
01ID,Lava Hot Springs Airport
01II,Myers Field
01IL,Hoopeston Community Memorial Hospital Heliport
01IN,Community Hospital Heliport
01IS,William E. Koenig Airport
01J,Hilliard Airpark
01K,Caldwell Municipal Airport
01KS,Flying N Ranch Airport
01KY,Lourdes Hospital Heliport
01LA,Barham Airport
01LL,Schumaier Restricted Landing Area
01LS,Country Breeze Airport
01MA,Compaq Andover Heliport
01MD,Annapolis Seaplane Base
01ME,Saint Peter's Seaplane Base
01MI,Flow Through Terminal Heliport
01MN,Barnes Seaplane Base
01MO,Highway Patrol Troop C Headquarters Heliport
01MT,Crystal Lakes Resort Airport
01MU,NWMC - Houghton Heliport
01NC,Topsail Airpark
01NE,Detour Airport
01NH,Moore Airfield
01NJ,Albert Guido Memorial Heliport
01NM,Champion Ranch Airport
01NR,McGee 01 Heliport
01NV,Lantana Ranch Airport
01NY,Vassar Hospital Heliport
01OH,Atrium Medical Center Heliport
01OI,Avita Health System Galion Hospital Heliport
01OK,Lawrence Airport
01OL,Spring Creek Ranch East Airport
01OR,Red & White Flying Service Airport
01PA,Pine Heliport
01PN,Bierly(Personal Use) Airport
01PS,Nort's Resort Airport
01SC,York Airport
01TA,Thirty Thirty Matlock Office Center Heliport
01TE,Smith Field
01TN,Colonial Air Park
01TS,St Joseph Hospital Heliport
01TT,Clute Fire & EMS Station #1 Heliport
01TX,Mims Farm Ultralightport
01U,Duckwater Airport
01UT,La Sal Junction Airport
01VA,Pickles Airport
01WA,Willapa Harbor Heliport
01WI,Prehn Cranberry Company Airport
01WN,Whidbey General Hospital Heliport
01WT,Odyssey Heliport
01WY,Keyhole Airport
01XA,Ascension Seton Hays Heliport
01XS,Meadowood Ranch Heliport
02AA,Barefoot Airport
02AK,Rustic Wilderness Airport
02AL,Bass Field
02AR,Three Rivers Airport
02AZ,Winchester Farm Airstrip
02CA,Swepi Beta Platform Ellen Heliport
02CD,Shannon Field
02CL,Conover Air Lodge Airport
02CO,Mc Cullough Airport
02CT,Strangers Point Heliport
02FA,Osborn Airfield
02FD,Triple R Ranch Airport
02FL,Cuchens Airport
02GA,Doug Bolton Field
02GE,Etowah Fields Airport
02HI,K3 Helipad Heliport
02IA,Boone County Hospital Heliport
